100 .False. # Number of lines, conductive flag
# 5 line header for n-k original data
# Vacuum psudo species
# Taken from:
# wl(um)      n                k
0.0001 1.0 0.0
0.0001176811952434998 1.0 0.0
0.00013848863713938732 1.0 0.0
0.00016297508346206434 1.0 0.0
0.00019179102616724886 1.0 0.0
0.0002257019719633919 1.0 0.0
0.00026560877829466864 1.0 0.0
0.00031257158496882353 1.0 0.0
0.0003678379771828634 1.0 0.0
0.0004328761281083057 1.0 0.0
0.000509413801481638 1.0 0.0
0.0005994842503189409 1.0 0.0
0.0007054802310718645 1.0 0.0
0.0008302175681319744 1.0 0.0
0.0009770099572992247 1.0 0.0
0.0011497569953977356 1.0 0.0
0.0013530477745798076 1.0 0.0
0.0015922827933410922 1.0 0.0
0.001873817422860383 1.0 0.0
0.0022051307399030455 1.0 0.0
0.002595024211399737 1.0 0.0
0.0030538555088334154 1.0 0.0
0.003593813663804626 1.0 0.0
0.0042292428743894986 1.0 0.0
0.0049770235643321085 1.0 0.0
0.005857020818056662 1.0 0.0
0.006892612104349695 1.0 0.0
0.008111308307896872 1.0 0.0
0.009545484566618337 1.0 0.0
0.011233240329780276 1.0 0.0
0.013219411484660288 1.0 0.0
0.015556761439304723 1.0 0.0
0.01830738280295368 1.0 0.0
0.021544346900318822 1.0 0.0
0.025353644939701114 1.0 0.0
0.029836472402833374 1.0 0.0
0.03511191734215131 1.0 0.0
0.04132012400115335 1.0 0.0
0.04862601580065353 1.0 0.0
0.057223676593502144 1.0 0.0
0.06734150657750822 1.0 0.0
0.0792482898353917 1.0 0.0
0.093260334688322 1.0 0.0
0.10974987654930557 1.0 0.0
0.1291549665014884 1.0 0.0
0.1519911082952933 1.0 0.0
0.1788649529057435 1.0 0.0
0.21049041445120198 1.0 0.0
0.2477076355991709 1.0 0.0
0.2915053062825176 1.0 0.0
0.34304692863149155 1.0 0.0
0.40370172585965536 1.0 0.0
0.4750810162102793 1.0 0.0
0.5590810182512223 1.0 0.0
0.6579332246575675 1.0 0.0
0.774263682681127 1.0 0.0
0.9111627561154887 1.0 0.0
1.072267222010323 1.0 0.0
1.261856883066021 1.0 0.0
1.4849682622544635 1.0 0.0
1.747528400007683 1.0 0.0
2.0565123083486516 1.0 0.0
2.4201282647943834 1.0 0.0
2.848035868435799 1.0 0.0
3.351602650938841 1.0 0.0
3.944206059437656 1.0 0.0
4.641588833612772 1.0 0.0
5.462277217684337 1.0 0.0
6.4280731172843195 1.0 0.0
7.56463327554629 1.0 0.0
8.902150854450374 1.0 0.0
10.47615752789664 1.0 0.0
12.32846739442066 1.0 0.0
14.508287784959402 1.0 0.0
17.073526474706888 1.0 0.0
20.09233002565046 1.0 0.0
23.644894126454073 1.0 0.0
27.825594022071257 1.0 0.0
32.74549162877725 1.0 0.0
38.53528593710527 1.0 0.0
45.34878508128582 1.0 0.0
53.36699231206302 1.0 0.0
62.80291441834247 1.0 0.0
73.90722033525775 1.0 0.0
86.97490026177834 1.0 0.0
102.35310218990247 1.0 0.0
120.45035402587811 1.0 0.0
141.74741629268047 1.0 0.0
166.81005372000593 1.0 0.0
196.30406500402685 1.0 0.0
231.0129700083158 1.0 0.0
271.85882427329403 1.0 0.0
319.92671377973846 1.0 0.0
376.49358067924635 1.0 0.0
443.06214575838777 1.0 0.0
521.4008287999684 1.0 0.0
613.5907273413163 1.0 0.0
722.0809018385456 1.0 0.0
849.7534359086438 1.0 0.0
1000.0 1.0 0.0
