100 .False. # Number of lines, conductive flag
# 5 line header for n-k original data
# Vacuum psudo species
# Taken from:
# wl(um)      n                k
0.0001 0.0 1.0
0.0001176811952434998 0.0 1.0
0.00013848863713938732 0.0 1.0
0.00016297508346206434 0.0 1.0
0.00019179102616724886 0.0 1.0
0.0002257019719633919 0.0 1.0
0.00026560877829466864 0.0 1.0
0.00031257158496882353 0.0 1.0
0.0003678379771828634 0.0 1.0
0.0004328761281083057 0.0 1.0
0.000509413801481638 0.0 1.0
0.0005994842503189409 0.0 1.0
0.0007054802310718645 0.0 1.0
0.0008302175681319744 0.0 1.0
0.0009770099572992247 0.0 1.0
0.0011497569953977356 0.0 1.0
0.0013530477745798076 0.0 1.0
0.0015922827933410922 0.0 1.0
0.001873817422860383 0.0 1.0
0.0022051307399030455 0.0 1.0
0.002595024211399737 0.0 1.0
0.0030538555088334154 0.0 1.0
0.003593813663804626 0.0 1.0
0.0042292428743894986 0.0 1.0
0.0049770235643321085 0.0 1.0
0.005857020818056662 0.0 1.0
0.006892612104349695 0.0 1.0
0.008111308307896872 0.0 1.0
0.009545484566618337 0.0 1.0
0.011233240329780276 0.0 1.0
0.013219411484660288 0.0 1.0
0.015556761439304723 0.0 1.0
0.01830738280295368 0.0 1.0
0.021544346900318822 0.0 1.0
0.025353644939701114 0.0 1.0
0.029836472402833374 0.0 1.0
0.03511191734215131 0.0 1.0
0.04132012400115335 0.0 1.0
0.04862601580065353 0.0 1.0
0.057223676593502144 0.0 1.0
0.06734150657750822 0.0 1.0
0.0792482898353917 0.0 1.0
0.093260334688322 0.0 1.0
0.10974987654930557 0.0 1.0
0.1291549665014884 0.0 1.0
0.1519911082952933 0.0 1.0
0.1788649529057435 0.0 1.0
0.21049041445120198 0.0 1.0
0.2477076355991709 0.0 1.0
0.2915053062825176 0.0 1.0
0.34304692863149155 0.0 1.0
0.40370172585965536 0.0 1.0
0.4750810162102793 0.0 1.0
0.5590810182512223 0.0 1.0
0.6579332246575675 0.0 1.0
0.774263682681127 0.0 1.0
0.9111627561154887 0.0 1.0
1.072267222010323 0.0 1.0
1.261856883066021 0.0 1.0
1.4849682622544635 0.0 1.0
1.747528400007683 0.0 1.0
2.0565123083486516 0.0 1.0
2.4201282647943834 0.0 1.0
2.848035868435799 0.0 1.0
3.351602650938841 0.0 1.0
3.944206059437656 0.0 1.0
4.641588833612772 0.0 1.0
5.462277217684337 0.0 1.0
6.4280731172843195 0.0 1.0
7.56463327554629 0.0 1.0
8.902150854450374 0.0 1.0
10.47615752789664 0.0 1.0
12.32846739442066 0.0 1.0
14.508287784959402 0.0 1.0
17.073526474706888 0.0 1.0
20.09233002565046 0.0 1.0
23.644894126454073 0.0 1.0
27.825594022071257 0.0 1.0
32.74549162877725 0.0 1.0
38.53528593710527 0.0 1.0
45.34878508128582 0.0 1.0
53.36699231206302 0.0 1.0
62.80291441834247 0.0 1.0
73.90722033525775 0.0 1.0
86.97490026177834 0.0 1.0
102.35310218990247 0.0 1.0
120.45035402587811 0.0 1.0
141.74741629268047 0.0 1.0
166.81005372000593 0.0 1.0
196.30406500402685 0.0 1.0
231.0129700083158 0.0 1.0
271.85882427329403 0.0 1.0
319.92671377973846 0.0 1.0
376.49358067924635 0.0 1.0
443.06214575838777 0.0 1.0
521.4008287999684 0.0 1.0
613.5907273413163 0.0 1.0
722.0809018385456 0.0 1.0
849.7534359086438 0.0 1.0
1000.0 0.0 1.0
