# (A) (ergs/cm**2/s/Angstrom)  (0= GOOD to 3= BAD) 
# WAVELENGTH FLUX    ERROR     DATA_QUALITY 
1151.740 -5.020E-14  5.894E-14 0
1151.752  2.004E-15  4.161E-14 0
1151.764  1.953E-14  6.580E-14 0
1151.776  5.224E-14  6.276E-14 0
1151.788  4.271E-14  7.871E-14 0
1151.800  1.911E-15  8.217E-14 0
1151.812 -5.452E-14  8.062E-14 0
1151.824  7.616E-15  7.716E-14 0
1151.836  5.949E-14  7.012E-14 0
1151.848  1.824E-14  5.510E-14 0
1151.860  7.277E-16  6.298E-14 0
1151.872 -1.836E-14  7.740E-14 0
1151.884 -2.215E-15  8.126E-14 0
1151.896  1.129E-14  6.822E-14 0
1151.908  1.171E-15  6.994E-14 0
1151.920 -1.471E-14  6.675E-14 0
1151.932 -3.925E-14  6.433E-14 0
1151.944 -5.330E-14  7.881E-14 0
1151.956 -4.495E-14  5.842E-14 0
1151.968  1.277E-14  6.720E-14 0
1151.980  5.454E-14  6.192E-14 0
1151.992 -1.329E-14  8.761E-14 0
1152.004 -4.530E-14  7.130E-14 0
1152.016 -3.623E-14  5.965E-14 0
1152.028 -1.814E-14  5.508E-14 0
1152.040 -4.879E-15  5.941E-14 0
1152.052 -1.898E-14  6.184E-14 0
1152.064 -2.972E-14  6.697E-14 0
1152.076  1.379E-14  5.382E-14 0
1152.088 -4.073E-14  6.846E-14 0
1152.100 -1.331E-14  7.600E-14 0
1152.112  5.539E-15  8.544E-14 0
1152.124  6.156E-14  8.867E-14 0
1152.136  1.150E-14  9.317E-14 0
1152.148 -9.418E-15  6.442E-14 0
1152.160 -3.535E-14  8.095E-14 0
1152.172  3.113E-14  6.176E-14 0
1152.184  2.057E-14  6.364E-14 0
1152.196  1.920E-14  8.406E-14 0
1152.208  6.708E-14  7.706E-14 0
1152.220  7.260E-14  9.123E-14 0
1152.232  3.268E-14  9.232E-14 0
1152.244  2.097E-14  1.013E-13 0
1152.256  7.698E-14  8.818E-14 0
1152.268  3.771E-14  6.167E-14 0
1152.280 -6.837E-15  7.465E-14 0
1152.292 -1.237E-14  4.917E-14 0
1152.304 -5.972E-14  5.175E-14 0
1152.316 -3.787E-14  4.203E-14 0
1152.328  2.493E-14  5.442E-14 0
1152.340  6.366E-14  5.456E-14 0
1152.352  1.686E-15  6.658E-14 0
1152.364 -2.207E-14  5.719E-14 0
1152.376 -1.327E-14  5.466E-14 0
1152.388  3.765E-14  7.342E-14 0
1152.400  2.132E-14  4.985E-14 0
1152.412  3.714E-14  4.549E-14 0
1152.424  4.916E-14  5.494E-14 0
1152.436  9.458E-15  5.755E-14 0
1152.448 -1.270E-14  5.504E-14 0
1152.460 -1.066E-15  4.540E-14 0
1152.472  1.275E-13  7.132E-14 0
1152.484  1.008E-13  5.661E-14 0
1152.496  1.075E-13  7.797E-14 0
1152.508  3.335E-14  5.242E-14 0
1152.520  4.505E-14  5.009E-14 0
1152.532 -5.522E-14  5.507E-14 0
1152.544  9.759E-14  7.378E-14 0
1152.556  4.858E-14  4.299E-14 0
1152.568  4.483E-14  6.888E-14 0
1152.580  3.604E-16  3.345E-14 0
1152.592 -8.726E-15  2.849E-14 0
1152.604  1.160E-14  4.550E-14 0
1152.616 -7.187E-15  4.022E-14 0
1152.628  1.822E-14  5.231E-14 0
1152.640 -1.955E-14  5.500E-14 0
1152.652  1.470E-14  4.613E-14 0
1152.664  1.793E-14  5.053E-14 0
1152.676  1.735E-14  6.033E-14 0
1152.688  4.086E-15  5.766E-14 0
1152.700  1.866E-15  4.716E-14 0
1152.712  5.885E-15  2.775E-14 0
1152.724 -3.692E-14  3.849E-14 0
1152.736 -7.499E-14  4.337E-14 0
1152.748 -6.832E-14  4.380E-14 0
1152.760 -2.598E-14  5.439E-14 0
1152.772  3.808E-15  4.822E-14 0
1152.784  6.004E-16  5.706E-14 0
1152.796 -6.557E-15  4.186E-14 0
1152.808 -2.546E-14  2.916E-14 0
1152.820 -9.752E-15  5.610E-14 0
1152.832  3.535E-14  5.020E-14 0
1152.844  1.611E-14  3.879E-14 0
1152.856 -2.962E-15  4.732E-14 0
1152.868 -1.503E-14  5.247E-14 0
1152.880 -6.462E-15  3.244E-14 0
1152.892 -1.341E-14  4.884E-14 0
1152.904 -8.612E-15  5.121E-14 0
1152.916 -5.427E-14  4.016E-14 0
1152.928  3.663E-14  4.707E-14 0
1152.940  1.422E-14  4.381E-14 0
1152.952  6.378E-14  4.921E-14 0
1152.964  1.699E-14  4.300E-14 0
1152.976  5.047E-14  5.045E-14 0
1152.988  3.828E-14  5.268E-14 0
1153.000  5.286E-14  5.510E-14 0
1153.012  1.178E-14  4.383E-14 0
1153.024 -8.066E-14  4.532E-14 0
1153.036 -3.010E-14  4.307E-14 0
1153.048 -3.937E-14  4.236E-14 0
1153.060 -3.988E-14  2.761E-14 0
1153.072 -4.167E-14  3.152E-14 0
1153.084 -4.565E-14  3.855E-14 0
1153.096 -2.511E-14  3.203E-14 0
1153.108  1.466E-14  3.018E-14 0
1153.120 -6.547E-15  2.849E-14 0
1153.132 -2.574E-14  5.037E-14 0
1153.144  2.452E-14  5.695E-14 0
1153.156  2.555E-14  3.961E-14 0
1153.168 -2.914E-14  3.758E-14 0
1153.180 -5.317E-14  4.437E-14 0
1153.192 -2.151E-14  4.184E-14 0
1153.204 -1.031E-14  2.492E-14 0
1153.216 -1.901E-14  3.166E-14 0
1153.228 -4.407E-14  3.539E-14 0
1153.240 -6.210E-14  4.104E-14 0
1153.252 -3.936E-14  2.877E-14 0
1153.264 -1.339E-14  3.018E-14 0
1153.276 -1.644E-14  3.269E-14 0
1153.288 -5.105E-14  3.137E-14 0
1153.300 -6.240E-14  3.466E-14 0
1153.312 -3.645E-14  2.370E-14 0
1153.324 -1.317E-14  2.645E-14 0
1153.336 -3.422E-14  4.410E-14 0
1153.348  3.063E-14  4.520E-14 0
1153.360 -1.934E-14  4.659E-14 0
1153.372  3.258E-14  4.037E-14 0
1153.384  1.561E-14  3.301E-14 0
1153.396 -4.455E-14  3.438E-14 0
1153.408 -2.707E-14  3.834E-14 0
1153.420  1.275E-14  4.747E-14 0
1153.432 -4.205E-14  3.544E-14 0
1153.444 -2.080E-14  3.730E-14 0
1153.456 -1.571E-14  2.019E-14 0
1153.468  2.306E-14  2.890E-14 0
1153.480  6.350E-14  5.524E-14 0
1153.492  5.444E-14  5.222E-14 0
1153.504  1.247E-14  5.088E-14 0
1153.516 -3.880E-16  3.643E-14 0
1153.528  2.413E-14  3.617E-14 0
1153.540  1.325E-14  3.897E-14 0
1153.552  1.730E-14  3.678E-14 0
1153.564 -2.136E-14  3.985E-14 0
1153.576 -5.622E-14  3.501E-14 0
1153.588 -2.592E-14  1.532E-14 0
1153.600 -2.432E-14  1.331E-14 0
1153.612 -3.967E-14  2.904E-14 0
1153.624 -6.814E-15  3.079E-14 0
1153.636  8.171E-16  4.607E-14 0
1153.648  4.677E-15  4.276E-14 0
1153.660  1.457E-14  3.819E-14 0
1153.672  7.116E-15  4.072E-14 0
1153.684  3.546E-14  4.795E-14 0
1153.696  4.799E-14  3.409E-14 0
1153.708 -1.591E-14  2.087E-14 0
1153.720  9.921E-15  3.044E-14 0
1153.732  2.044E-14  4.625E-14 0
1153.744  1.997E-14  3.971E-14 0
1153.756  2.228E-14  3.808E-14 0
1153.768  1.864E-14  3.590E-14 0
1153.780 -2.204E-14  2.742E-14 0
1153.792 -5.318E-14  3.152E-14 0
1153.804  7.639E-15  2.630E-14 0
1153.816  1.226E-14  3.681E-14 0
1153.828 -1.741E-14  4.203E-14 0
1153.840 -2.970E-14  4.993E-14 0
1153.852 -1.356E-14  2.480E-14 0
1153.864  1.476E-14  3.212E-14 0
1153.876 -3.508E-14  2.837E-14 0
1153.888  5.334E-15  3.791E-14 0
1153.900  5.398E-14  4.105E-14 0
1153.912 -2.943E-14  3.847E-14 0
1153.924  9.736E-16  2.467E-14 0
1153.936  3.276E-15  3.251E-14 0
1153.948  1.033E-14  3.885E-14 0
1153.960 -5.391E-15  3.520E-14 0
1153.972  5.035E-15  3.015E-14 0
1153.984  2.124E-14  4.495E-14 0
1153.996  1.998E-14  4.675E-14 0
1154.008  4.160E-15  3.848E-14 0
1154.020  6.248E-16  2.471E-14 0
1154.032  5.858E-15  3.162E-14 0
1154.044  6.485E-16  3.893E-14 0
1154.056  4.129E-15  3.290E-14 0
1154.068 -7.822E-15  3.439E-14 0
1154.080 -1.090E-14  3.775E-14 0
1154.092 -3.113E-14  2.832E-14 0
1154.104 -1.032E-14  1.664E-14 0
1154.116  1.006E-14  2.707E-14 0
1154.128  7.802E-15  5.415E-14 0
1154.140  1.210E-14  4.700E-14 0
1154.152  1.657E-14  2.575E-14 0
1154.164 -6.103E-15  3.584E-14 0
1154.176  2.657E-14  2.917E-14 0
1154.188  3.026E-14  3.461E-14 0
1154.200 -8.534E-15  3.183E-14 0
1154.212 -2.281E-14  4.088E-14 0
1154.224 -3.966E-14  4.358E-14 0
1154.236 -2.291E-14  2.892E-14 0
1154.248 -1.880E-14  4.945E-14 0
1154.260 -2.147E-14  2.998E-14 0
1154.272  1.132E-14  4.589E-14 0
1154.284  3.858E-14  4.833E-14 0
1154.296 -3.831E-16  3.862E-14 0
1154.308 -2.717E-17  1.887E-14 0
1154.320 -1.334E-14  1.994E-14 0
1154.332 -3.722E-14  2.603E-14 0
1154.344  3.246E-14  4.221E-14 0
1154.356 -1.720E-14  4.277E-14 0
1154.368 -2.308E-14  2.791E-14 0
1154.380 -1.123E-14  1.134E-14 0
1154.392 -1.534E-14  2.610E-14 0
1154.404  8.732E-15  3.619E-14 0
1154.416  1.272E-14  4.508E-14 0
1154.428  1.859E-14  4.244E-14 0
1154.440  3.922E-14  4.109E-14 0
1154.452  2.907E-14  3.642E-14 0
1154.464  6.792E-17  3.233E-14 0
1154.476 -1.340E-14  3.280E-14 0
1154.488 -1.044E-14  4.112E-14 0
1154.500 -1.729E-14  4.663E-14 0
1154.512 -1.035E-15  3.331E-14 0
1154.524  1.608E-14  2.605E-14 0
1154.536 -2.138E-15  3.004E-14 0
1154.548 -1.374E-14  2.064E-14 0
1154.560 -1.054E-14  2.709E-14 0
1154.572 -4.707E-14  3.782E-14 0
1154.584 -5.221E-14  3.527E-14 0
1154.596 -2.978E-14  1.947E-14 0
1154.608  9.917E-15  3.139E-14 0
1154.620 -9.141E-15  4.359E-14 0
1154.632  5.207E-15  4.349E-14 0
1154.644 -2.358E-14  2.854E-14 0
1154.656 -4.167E-14  2.225E-14 0
1154.668 -3.819E-14  3.255E-14 0
1154.680  5.516E-14  4.418E-14 0
1154.692  1.762E-15  1.951E-14 0
1154.704  3.660E-14  3.180E-14 0
1154.716  3.669E-14  3.771E-14 0
1154.728  1.806E-14  3.711E-14 0
1154.740 -2.846E-14  2.468E-14 0
1154.752 -2.847E-14  1.592E-14 0
1154.764 -1.005E-14  3.857E-14 0
1154.776 -5.756E-14  4.629E-14 0
1154.788  8.646E-15  4.815E-14 0
1154.800  2.295E-14  2.804E-14 0
1154.812  5.545E-14  3.619E-14 0
1154.824  5.826E-15  2.683E-14 0
1154.836 -3.801E-14  2.177E-14 0
1154.848 -2.198E-14  2.177E-14 0
1154.860 -5.242E-15  3.024E-14 1
1154.872  3.238E-14  4.366E-14 1
1154.884  6.175E-14  5.014E-14 1
1154.896  4.756E-14  4.797E-14 1
1154.908  2.497E-14  4.369E-14 1
1154.920 -1.471E-14  4.472E-14 1
1154.932 -2.848E-14  3.122E-14 1
1154.944 -2.184E-14  1.652E-14 0
1154.956 -5.794E-15  2.041E-14 0
1154.968 -1.311E-14  2.442E-14 0
1154.980 -5.729E-14  3.220E-14 0
1154.992 -5.118E-14  4.042E-14 0
1155.004 -4.371E-14  3.990E-14 0
1155.016 -5.487E-14  4.122E-14 0
1155.028  3.165E-15  2.466E-14 0
1155.040  1.269E-14  2.914E-14 0
1155.052 -1.566E-17  4.346E-14 0
1155.064 -2.649E-14  4.572E-14 0
1155.076 -2.832E-14  2.212E-14 0
1155.088 -1.585E-14  2.238E-14 0
1155.100  1.872E-14  2.953E-14 0
1155.112 -1.985E-14  2.830E-14 0
1155.124  1.120E-15  2.911E-14 0
1155.136  2.968E-14  4.200E-14 0
1155.148  2.966E-14  4.606E-14 0
1155.160  2.022E-14  2.814E-14 0
1155.172 -3.904E-14  2.835E-14 0
1155.184 -3.534E-14  3.360E-14 0
