# Branching ratios for CH3C2H -> (1)C3H2 + H2 (2)C3H3 + H 
# lambda , br_ratio_1, br_ratio_2
1.0910E+02,    1.0,    0.  
1.4200E+02,    0.438,  0.562
2.0000E+02,    0.438,  0.562  
