#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
101       	9         	ok              	3.4960000000e-06	5.4300000000e+02	8.5766178318e+13	4.6632411138e+13	2.3664675685e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	9         	ok              	2.9500000000e-06	5.4040000000e+02	7.2718218921e+13	3.9538751584e+13	2.3664244810e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	9         	ok              	2.4890000000e-06	5.3780000000e+02	6.1649943529e+13	3.3521263172e+13	2.3663810291e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	10        	ok              	2.1000000000e-06	5.3540000000e+02	5.2246855833e+13	2.8409082294e+13	2.3663300969e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	10        	ok              	1.7710000000e-06	5.3310000000e+02	4.4250577039e+13	2.4061691572e+13	2.3662746781e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	11        	ok              	1.4950000000e-06	5.3100000000e+02	3.7501120119e+13	2.0392146782e+13	2.3662120429e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	11        	ok              	1.2610000000e-06	5.2910000000e+02	3.1744009675e+13	1.7262098959e+13	2.3661406037e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	12        	ok              	1.0640000000e-06	5.2720000000e+02	2.6880518203e+13	1.4617816416e+13	2.3660695488e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	12        	ok              	8.9750000000e-07	5.2560000000e+02	2.2742347335e+13	1.2367883270e+13	2.3659866247e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	13        	ok              	7.5720000000e-07	5.2400000000e+02	1.9245115208e+13	1.0466358232e+13	2.3659049236e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	13        	ok              	6.3880000000e-07	5.2260000000e+02	1.6278731956e+13	8.8534345082e+12	2.3658170610e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	14        	ok              	5.3890000000e-07	5.2120000000e+02	1.3769342720e+13	7.4889348679e+12	2.3657319187e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	14        	ok              	4.5470000000e-07	5.1990000000e+02	1.1646592619e+13	6.3346323410e+12	2.3656464829e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	14        	ok              	3.8360000000e-07	5.1880000000e+02	9.8459161689e+12	5.3554369171e+12	2.3655579971e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	14        	ok              	3.2360000000e-07	5.1770000000e+02	8.3232431122e+12	4.5273766319e+12	2.3654748202e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	14        	ok              	2.7300000000e-07	5.1670000000e+02	7.0351221508e+12	3.8268413893e+12	2.3653943416e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	14        	ok              	2.3040000000e-07	5.1580000000e+02	5.9475010343e+12	3.2353212771e+12	2.3653177171e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	13        	ok              	1.9440000000e-07	5.1500000000e+02	5.0258457309e+12	2.7340427972e+12	2.3652454375e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	13        	ok              	1.6400000000e-07	5.1420000000e+02	4.2463913085e+12	2.3100854923e+12	2.3651807146e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120       	12        	ok              	1.3830000000e-07	5.1360000000e+02	3.5850409084e+12	1.9503539849e+12	2.3651192647e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
121       	11        	ok              	1.1670000000e-07	5.1290000000e+02	3.0291842822e+12	1.6479894758e+12	2.3650679897e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
122       	10        	ok              	9.8470000000e-08	5.1240000000e+02	2.5584310446e+12	1.3919098039e+12	2.3650209634e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
123       	10        	ok              	8.3070000000e-08	5.1190000000e+02	2.1603828754e+12	1.1753720466e+12	2.3649814540e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
124       	9         	ok              	7.0090000000e-08	5.1150000000e+02	1.8242144598e+12	9.9249127800e+11	2.3649478318e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
125       	9         	ok              	5.9130000000e-08	5.1100000000e+02	1.5404499801e+12	8.3811430985e+11	2.3649214240e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
126       	8         	ok              	4.9890000000e-08	5.1070000000e+02	1.3004813757e+12	7.0756105860e+11	2.3648989310e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
127       	8         	ok              	4.2090000000e-08	5.1040000000e+02	1.0977956939e+12	5.9728902800e+11	2.3648813521e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
128       	7         	ok              	3.5510000000e-08	5.1010000000e+02	9.2671485027e+11	5.0421019844e+11	2.3648677954e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
129       	7         	ok              	2.9960000000e-08	5.0980000000e+02	7.8233156461e+11	4.2565550534e+11	2.3648574579e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
130       	7         	ok              	2.5270000000e-08	5.0960000000e+02	6.6012049925e+11	3.5916342101e+11	2.3648494088e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
131       	7         	ok              	2.1320000000e-08	5.0930000000e+02	5.5726254395e+11	3.0320042179e+11	2.3648435944e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
132       	7         	ok              	1.7990000000e-08	5.0920000000e+02	4.7031437916e+11	2.5589337678e+11	2.3648390175e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
133       	6         	ok              	1.5180000000e-08	5.0900000000e+02	3.9700765497e+11	2.1600821404e+11	2.3648357683e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
134       	6         	ok              	1.2810000000e-08	5.0880000000e+02	3.3515560039e+11	1.8235526381e+11	2.3648333837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
135       	6         	ok              	1.0800000000e-08	5.0870000000e+02	2.8262211424e+11	1.5377236535e+11	2.3648315834e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
136       	6         	ok              	9.1140000000e-09	5.0870000000e+02	2.3850152816e+11	1.2976679054e+11	2.3648302566e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
137       	6         	ok              	7.6900000000e-09	5.0870000000e+02	2.0123721914e+11	1.0949161940e+11	2.3648293072e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
138       	6         	ok              	6.4880000000e-09	5.0870000000e+02	1.6978240617e+11	9.2377324665e+10	2.3648286291e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
139       	6         	ok              	5.4730000000e-09	5.0870000000e+02	1.4322116503e+11	7.7925569959e+10	2.3648281449e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
140       	6         	ok              	4.6180000000e-09	5.0870000000e+02	1.2084692925e+11	6.5751924369e+10	2.3648278004e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
141       	6         	ok              	3.8960000000e-09	5.0870000000e+02	1.0195313716e+11	5.5471956981e+10	2.3648275546e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
142       	6         	ok              	3.2870000000e-09	5.0870000000e+02	8.6016410949e+10	4.6800904157e+10	2.3648273796e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
143       	6         	ok              	2.7730000000e-09	5.0870000000e+02	7.2565711891e+10	3.9482478621e+10	2.3648272549e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
144       	6         	ok              	2.3400000000e-09	5.0870000000e+02	6.1234677049e+10	3.3317345826e+10	2.3648271662e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
145       	6         	ok              	1.9740000000e-09	5.0870000000e+02	5.1656944129e+10	2.8106171222e+10	2.3648271030e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
146       	6         	ok              	1.6650000000e-09	5.0870000000e+02	4.3570825905e+10	2.3706572991e+10	2.3648270579e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
147       	6         	ok              	1.4050000000e-09	5.0870000000e+02	3.6766972714e+10	2.0004645677e+10	2.3648270259e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
148       	6         	ok              	1.1850000000e-09	5.0870000000e+02	3.1009866367e+10	1.6872245642e+10	2.3648270031e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
149       	6         	ok              	1.0000000000e-09	5.0870000000e+02	2.6168663421e+10	1.4238181977e+10	2.3648269869e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
