#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	5         	ok              	2.0050000000e+00	1.0907000000e+03	2.4493335609e+19	1.3314514678e+19	2.3669820428e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	5         	ok              	1.6910000000e+00	1.0874000000e+03	2.0719824920e+19	1.1263427187e+19	2.3669435258e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	5         	ok              	1.4270000000e+00	1.0824000000e+03	1.7565513738e+19	9.5488806780e+18	2.3669046332e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	5         	ok              	1.2040000000e+00	1.0755000000e+03	1.4915375427e+19	8.1083474278e+18	2.3668689341e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	6         	ok              	1.0160000000e+00	1.0661000000e+03	1.2697234506e+19	6.9025894215e+18	2.3668431048e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	6         	ok              	8.5680000000e-01	1.0525000000e+03	1.0846013509e+19	5.8962193305e+18	2.3668398983e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	6         	ok              	7.2290000000e-01	1.0357000000e+03	9.2995108704e+18	5.0554582183e+18	2.3668566302e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	6.0990000000e-01	1.0154000000e+03	8.0028384649e+18	4.3504857577e+18	2.3668932418e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	5         	ok              	5.1450000000e-01	9.9180000000e+02	6.9118298183e+18	3.7573145309e+18	2.3669433021e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	4         	ok              	4.3410000000e-01	9.6270000000e+02	6.0081654902e+18	3.2659918072e+18	2.3670049507e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	4         	ok              	3.6620000000e-01	9.3180000000e+02	5.2365777573e+18	2.8465047365e+18	2.3670531870e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	3.0900000000e-01	9.0070000000e+02	4.5712600538e+18	2.4848180526e+18	2.3670841944e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	3         	ok              	2.6070000000e-01	8.7050000000e+02	3.9905530046e+18	2.1691447431e+18	2.3671017279e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	3         	ok              	2.1990000000e-01	8.4190000000e+02	3.4803846833e+18	1.8918251591e+18	2.3671109967e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	3         	ok              	1.8550000000e-01	8.1530000000e+02	3.0317255784e+18	1.6479451347e+18	2.3671158327e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	3         	ok              	1.5650000000e-01	7.9110000000e+02	2.6360087321e+18	1.4328450719e+18	2.3671183997e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	3         	ok              	1.3210000000e-01	7.6950000000e+02	2.2874854559e+18	1.2433988758e+18	2.3671198211e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	3         	ok              	1.1140000000e-01	7.5030000000e+02	1.9784019976e+18	1.0753913066e+18	2.3671206358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	3         	ok              	9.4010000000e-02	7.3340000000e+02	1.7080379976e+18	9.2843055326e+17	2.3671210903e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
