# wavelength (nm) photoabsorption  photodissociation  photoionisation (cm^2) at 800 K from O. Venot 2017
1.1690E+02,    3.86603E-18,    3.86465E-18     0.0E+00
1.1693E+02,    3.71701E-18,    3.71602E-18     0.0E+00
1.1697E+02,    4.00580E-18,    4.00519E-18     0.0E+00
1.1700E+02,    3.63899E-18,    3.63899E-18     0.0E+00
1.1703E+02,    3.27675E-18,    3.27675E-18     0.0E+00
1.1707E+02,    3.24030E-18,    3.24030E-18     0.0E+00
1.1710E+02,    3.33338E-18,    3.33338E-18     0.0E+00
1.1713E+02,    3.09906E-18,    3.09818E-18     0.0E+00
1.1717E+02,    3.07957E-18,    3.07806E-18     0.0E+00
1.1720E+02,    3.28685E-18,    3.28472E-18     0.0E+00
1.1723E+02,    3.41737E-18,    3.41611E-18     0.0E+00
1.1727E+02,    3.70070E-18,    3.70011E-18     0.0E+00
1.1730E+02,    3.52231E-18,    3.52231E-18     0.0E+00
1.1733E+02,    3.44894E-18,    3.44616E-18     0.0E+00
1.1737E+02,    3.21948E-18,    3.21516E-18     0.0E+00
1.1740E+02,    3.22012E-18,    3.21457E-18     0.0E+00
1.1743E+02,    3.24220E-18,    3.23635E-18     0.0E+00
1.1747E+02,    3.29381E-18,    3.28760E-18     0.0E+00
1.1750E+02,    3.38435E-18,    3.37771E-18     0.0E+00
1.1753E+02,    3.48072E-18,    3.47517E-18     0.0E+00
1.1757E+02,    3.27241E-18,    3.26907E-18     0.0E+00
1.1760E+02,    3.09679E-18,    3.09679E-18     0.0E+00
1.1763E+02,    2.92228E-18,    2.92228E-18     0.0E+00
1.1767E+02,    2.65493E-18,    2.65493E-18     0.0E+00
1.1770E+02,    2.48520E-18,    2.48520E-18     0.0E+00
1.1773E+02,    2.40284E-18,    2.40284E-18     0.0E+00
1.1777E+02,    2.18360E-18,    2.18360E-18     0.0E+00
1.1780E+02,    2.19983E-18,    2.19983E-18     0.0E+00
1.1783E+02,    2.07373E-18,    2.07362E-18     0.0E+00
1.1787E+02,    2.01368E-18,    2.01346E-18     0.0E+00
1.1790E+02,    1.98453E-18,    1.98417E-18     0.0E+00
1.1793E+02,    2.06233E-18,    2.06208E-18     0.0E+00
1.1797E+02,    2.14875E-18,    2.14862E-18     0.0E+00
1.1800E+02,    2.17809E-18,    2.17809E-18     0.0E+00
1.1803E+02,    2.06605E-18,    2.06605E-18     0.0E+00
1.1807E+02,    1.87940E-18,    1.87940E-18     0.0E+00
1.1810E+02,    1.73614E-18,    1.73614E-18     0.0E+00
1.1813E+02,    1.64549E-18,    1.64549E-18     0.0E+00
1.1817E+02,    1.63245E-18,    1.63245E-18     0.0E+00
1.1820E+02,    1.68205E-18,    1.68205E-18     0.0E+00
1.1823E+02,    1.74991E-18,    1.74913E-18     0.0E+00
1.1827E+02,    1.75049E-18,    1.74917E-18     0.0E+00
1.1830E+02,    1.78405E-18,    1.78231E-18     0.0E+00
1.1833E+02,    1.85439E-18,    1.85209E-18     0.0E+00
1.1837E+02,    1.88426E-18,    1.88141E-18     0.0E+00
1.1840E+02,    2.04745E-18,    2.04379E-18     0.0E+00
1.1843E+02,    2.13256E-18,    2.12950E-18     0.0E+00
1.1847E+02,    2.09375E-18,    2.09187E-18     0.0E+00
1.1850E+02,    1.94515E-18,    1.94515E-18     0.0E+00
1.1853E+02,    1.77866E-18,    1.77866E-18     0.0E+00
1.1857E+02,    1.69095E-18,    1.69095E-18     0.0E+00
1.1860E+02,    1.64990E-18,    1.64990E-18     0.0E+00
1.1863E+02,    1.67153E-18,    1.67153E-18     0.0E+00
1.1867E+02,    1.59317E-18,    1.59317E-18     0.0E+00
1.1870E+02,    1.46965E-18,    1.46965E-18     0.0E+00
1.1873E+02,    1.40930E-18,    1.40128E-18     0.0E+00
1.1877E+02,    1.36246E-18,    1.34741E-18     0.0E+00
1.1880E+02,    1.28112E-18,    1.26054E-18     0.0E+00
1.1883E+02,    1.24163E-18,    1.22827E-18     0.0E+00
1.1887E+02,    1.20186E-18,    1.19532E-18     0.0E+00
1.1890E+02,    1.18828E-18,    1.18811E-18     0.0E+00
1.1893E+02,    1.11142E-18,    1.11132E-18     0.0E+00
1.1897E+02,    1.08757E-18,    1.08752E-18     0.0E+00
1.1900E+02,    1.07564E-18,    1.07564E-18     0.0E+00
1.1903E+02,    1.05497E-18,    1.05497E-18     0.0E+00
1.1907E+02,    1.04255E-18,    1.04255E-18     0.0E+00
1.1910E+02,    1.03279E-18,    1.03279E-18     0.0E+00
1.1913E+02,    1.06550E-18,    1.06548E-18     0.0E+00
1.1917E+02,    1.08612E-18,    1.08607E-18     0.0E+00
1.1920E+02,    1.16864E-18,    1.16857E-18     0.0E+00
1.1923E+02,    1.33114E-18,    1.33101E-18     0.0E+00
1.1927E+02,    1.42331E-18,    1.42311E-18     0.0E+00
1.1930E+02,    1.42309E-18,    1.42284E-18     0.0E+00
1.1933E+02,    1.36723E-18,    1.36705E-18     0.0E+00
1.1937E+02,    1.29925E-18,    1.29913E-18     0.0E+00
1.1940E+02,    1.24928E-18,    1.24922E-18     0.0E+00
1.1943E+02,    1.21178E-18,    1.21168E-18     0.0E+00
1.1947E+02,    1.21666E-18,    1.21651E-18     0.0E+00
1.1950E+02,    1.21638E-18,    1.21617E-18     0.0E+00
1.1953E+02,    1.19891E-18,    1.19875E-18     0.0E+00
1.1957E+02,    1.16031E-18,    1.16020E-18     0.0E+00
1.1960E+02,    1.08608E-18,    1.08602E-18     0.0E+00
1.1963E+02,    1.00528E-18,    1.00524E-18     0.0E+00
