# wavelength (nm) photoabsorption  photodissociation  photoionisation (Plane calculation)
120,	6.0267E-19,	6.0267E-19, 0.0
121,	1.06784E-18,	1.06784E-18, 0.0
122,	1.80142E-18,	1.80142E-18, 0.0
123,	2.89981E-18,	2.89981E-18, 0.0
124,	4.45192E-18,	4.45192E-18, 0.0
125,	6.50503E-18,	6.50503E-18, 0.0
126,	9.02395E-18,	9.02395E-18, 0.0
127,	1.18602E-17,	1.18602E-17, 0.0
128,	1.47501E-17,	1.47501E-17, 0.0
129,	1.73535E-17,	1.73535E-17, 0.0
130,	1.93262E-17,	1.93262E-17, 0.0
131,	2.04048E-17,	2.04048E-17, 0.0
132,	2.04718E-17,	2.04718E-17, 0.0
133,	1.95785E-17,	1.95785E-17, 0.0
134,	1.79212E-17,	1.79212E-17, 0.0
135,	1.57823E-17,	1.57823E-17, 0.0
136,	1.3461E-17,	1.3461E-17, 0.0
137,	1.12166E-17,	1.12166E-17, 0.0
138,	9.23564E-18,	9.23564E-18, 0.0
139,	7.62447E-18,	7.62447E-18, 0.0
140,	6.41934E-18,	6.41934E-18, 0.0
141,	5.60458E-18,	5.60458E-18, 0.0
142,	5.13062E-18,	5.13062E-18, 0.0
143,	4.92858E-18,	4.92858E-18, 0.0
144,	4.92092E-18,	4.92092E-18, 0.0
145,	5.02957E-18,	5.02957E-18, 0.0
146,	5.18284E-18,	5.18284E-18, 0.0
147,	5.32141E-18,	5.32141E-18, 0.0
148,	5.40306E-18,	5.40306E-18, 0.0
149,	5.4051E-18,	5.4051E-18, 0.0
150,	5.32401E-18,	5.32401E-18, 0.0
151,	5.17232E-18,	5.17232E-18, 0.0
152,	4.97331E-18,	4.97331E-18, 0.0
153,	4.75497E-18,	4.75497E-18, 0.0
154,	4.54434E-18,	4.54434E-18, 0.0
155,	4.36325E-18,	4.36325E-18, 0.0
156,	4.2261E-18,	4.2261E-18, 0.0
157,	4.13958E-18,	4.13958E-18, 0.0
158,	4.10378E-18,	4.10378E-18, 0.0
159,	4.11406E-18,	4.11406E-18, 0.0
160,	4.16304E-18,	4.16304E-18, 0.0
161,	4.24207E-18,	4.24207E-18, 0.0
162,	4.34205E-18,	4.34205E-18, 0.0
163,	4.45376E-18,	4.45376E-18, 0.0
