#(dyn/cm2)	(K)    	(cm2/s)
Pressure	Temp		Diffusion 
3.077E+01	1986.0  	5.415E+11
2.249E+01	2043.0  	5.619E+11
1.644E+01	2091.0  	5.728E+11
1.201E+01	2129.0  	5.664E+11
8.770E+00	2157.0  	5.000E+11
6.400E+00	2173.0  	5.000E+11
4.671E+00	2189.0  	5.000E+11
3.409E+00	2212.0  	5.000E+11
2.492E+00	2240.0  	5.000E+11
1.823E+00	2271.0  	5.000E+11
1.337E+00	2303.0  	5.000E+11
9.812E-01	2334.0  	5.000E+11
