# wavelength (nm) photoabsorption  photodissociation  photoionisation (cm^2)
235,	1.65E-18,	1.65E-18, 0.0	
236,	1.49E-18,	1.49E-18, 0.0	
237,	1.34E-18,	1.34E-18, 0.0	
238,	1.19E-18,	1.19E-18, 0.0	
239,	1.06E-18,	1.06E-18, 0.0	
240,	9.36E-19,	9.36E-19, 0.0	
241,	8.23E-19,	8.23E-19, 0.0	
242,	7.21E-19,	7.21E-19, 0.0	
243,	6.28E-19,	6.28E-19, 0.0	
244,	5.45E-19,	5.45E-19, 0.0	
245,	4.71E-19,	4.71E-19, 0.0	
246,	4.05E-19,	4.05E-19, 0.0	
247,	3.47E-19,	3.47E-19, 0.0	
248,	2.96E-19,	2.96E-19, 0.0	
249,	2.52E-19,	2.52E-19, 0.0	
250,	2.14E-19,	2.14E-19, 0.0	
251,	1.80E-19,	1.80E-19, 0.0	
252,	1.52E-19,	1.52E-19, 0.0	
253,	1.27E-19,	1.27E-19, 0.0	
254,	1.06E-19,	1.06E-19, 0.0	
255,	8.86E-20,	8.86E-20, 0.0	
256,	7.36E-20,	7.36E-20, 0.0	
257,	6.09E-20,	6.09E-20, 0.0	
258,	5.03E-20,	5.03E-20, 0.0	
259,	4.14E-20,	4.14E-20, 0.0	
260,	3.40E-20,	3.40E-20, 0.0	
261,	2.78E-20,	2.78E-20, 0.0	
262,	2.27E-20,	2.27E-20, 0.0	
263,	1.85E-20,	1.85E-20, 0.0	
264,	1.51E-20,	1.51E-20, 0.0	
265,	1.22E-20,	1.22E-20, 0.0	
266,	9.87E-21,	9.87E-21, 0.0	
267,	7.97E-21,	7.97E-21, 0.0	
268,	6.42E-21,	6.42E-21, 0.0	
269,	5.16E-21,	5.16E-21, 0.0	
270,	4.13E-21,	4.13E-21, 0.0	
271,	3.31E-21,	3.31E-21, 0.0	
272,	2.64E-21,	2.64E-21, 0.0	
273,	2.11E-21,	2.11E-21, 0.0	
274,	1.68E-21,	1.68E-21, 0.0	
275,	1.33E-21,	1.33E-21, 0.0	
276,	1.06E-21,	1.06E-21, 0.0	
277,	8.38E-22,	8.38E-22, 0.0	
278,	6.62E-22,	6.62E-22, 0.0	
279,	5.23E-22,	5.23E-22, 0.0	
280,	4.12E-22,	4.12E-22, 0.0	
281,	3.25E-22,	3.25E-22, 0.0	
282,	2.55E-22,	2.55E-22, 0.0	
283,	2.01E-22,	2.01E-22, 0.0	
284,	1.57E-22,	1.57E-22, 0.0	
285,	1.23E-22,	1.23E-22, 0.0	
286,	9.69E-23,	9.69E-23, 0.0	
287,	7.61E-23,	7.61E-23, 0.0	
288,	5.99E-23,	5.99E-23, 0.0	
289,	4.73E-23,	4.73E-23, 0.0	
290,	3.77E-23,	3.77E-23, 0.0	
291,	3.03E-23,	3.03E-23, 0.0	
292,	2.49E-23,	2.49E-23, 0.0	
293,	2.11E-23,	2.11E-23, 0.0	
294,	1.85E-23,	1.85E-23, 0.0	
295,	1.71E-23,	1.71E-23, 0.0	
296,	1.67E-23,	1.67E-23, 0.0	
297,	1.72E-23,	1.72E-23, 0.0	
298,	1.87E-23,	1.87E-23, 0.0	
299,	2.11E-23,	2.11E-23, 0.0	
